,paragraph_number,paragraph
269,270,"A common solution is to apply the ERM learning rule over a restricted search space. Formally, the learner should choose in advance (before seeing the data) a set of predictors. This set is called a hypothesis class and is denoted by H. Each with the lowest possible error over S. Formally, where argmin stands for the set of hypotheses in H that achieve the minimum value of LS(h) over H. By restricting the learner to choosing a predictor from"
270,271,"H, we bias it toward a particular set of predictors. Such restrictions are often called an inductive bias. Since the choice of such a restriction is determined before the learner sees the training data, it should ideally be based on some prior knowledge about the problem to be learned. For example, for the papaya taste prediction problem we may choose the class H to be the set of predictors that are determined by axis aligned rectangles (in the space determined by the color and softness coordinates). We will later show that ERMH over this class is guaranteed not to overﬁt. On the other hand, the example of overﬁtting that we have seen previously, demonstrates that choosing H to be a class of predictors does not suﬃce to guarantee that ERMH will not overﬁt."
271,272,"A fundamental question in learning theory is, over which hypothesis classes"
272,273,ERMH learning will not result in overﬁtting. We will study this question later
273,274,"Intuitively, choosing a more restricted hypothesis class better protects us against overﬁtting but at the same time might cause us a stronger inductive bias. We will get back to this fundamental tradeoﬀlater."
274,275,Finite Hypothesis Classes
275,276,"The simplest type of restriction on a class is imposing an upper bound on its size (that is, the number of predictors h in H). In this section, we show that if H is a ﬁnite class then ERMH will not overﬁt, provided it is based on a suﬃciently large training sample (this size requirement will depend on the size of H)."
276,277,"Limiting the learner to prediction rules within some ﬁnite hypothesis class may be considered as a reasonably mild restriction. For example, H can be the set of the hypothesis class becomes a ﬁnite class."
277,278,"Let us now analyze the performance of the ERMH learning rule assuming that let hS denote a result of applying ERMH to S, namely,"
278,279,"In this chapter, we make the following simplifying assumption (which will be relaxed in the next chapter)."
279,280,"There exists h⋆∈H s.t. random samples, S, where the instances of S are sampled according to D and"
280,281,The realizability assumption implies that for every ERM hypothesis we have rather than its empirical risk.
281,282,"Clearly, any guarantee on the error with respect to the underlying distribution,"
282,283,"D, for an algorithm that has access only to a sample S should depend on the relationship between D and S. The common assumption in statistical machine learning is that the training sample S is generated by sampling points from the distribution D independently of each other. Formally,"
283,284,"• The i.i.d. assumption: The examples in the training set are independently and identically distributed (i.i.d.) according to the distribution D. That is, every xi in S is freshly sampled according to D and then labeled according to the labeling function, f. We denote this assumption by S ∼Dm where by applying D to pick each element of the tuple independently of the other members of the tuple."
284,285,"Intuitively, the training set S is a window through which the learner gets partial information about the distribution D over the world and the labeling function, f. The larger the sample gets, the more likely it is to reﬂect more accurately the distribution and labeling used to generate it."
